asset_id,asset_class,date,open,high,low,close,volume,time_gap,is_abnormal_gap_gt_1h,is_price_violation,is_duplicate_timestamp,has_missing
MC.PA,stock,2026-03-05 09:00:00,500.0,501.5,498.1,498.3,28004.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-03-06 09:00:00,509.9,510.0,506.5,507.9,9431.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-03-09 09:00:00,492.1,492.5,489.1,489.6,32640.0,2 days 15:35:00,1,0,0,0
MC.PA,stock,2026-03-10 09:00:00,510.0,512.0,507.5,508.8,7054.0,0 days 15:35:00,1,0,0,0
NVDA,stock,2026-02-26 04:00:00,197.01,198.34,196.83,197.4,27792.0,0 days 08:05:00,1,0,0,0
NVDA,stock,2026-02-27 04:00:00,186.0,186.36,185.95,186.28,8698.0,0 days 08:05:00,1,0,0,0
NVDA,stock,2026-03-02 04:00:00,174.58,175.42,174.0,174.5,66631.0,2 days 08:05:00,1,0,0,0
NVDA,stock,2026-03-03 04:00:00,177.05,179.1,176.9,177.39,0.0,0 days 08:05:00,1,0,0,0
NVDA,stock,2026-03-04 04:00:00,179.32,179.82,178.95,179.49,6584.0,0 days 08:05:00,1,0,0,0
NVDA,stock,2026-03-05 04:00:00,182.65,182.97,182.16,182.5,9392.0,0 days 08:05:00,1,0,0,0
NVDA,stock,2026-03-06 04:00:00,182.95,182.95,182.35,182.35,2907.0,0 days 08:05:00,1,0,0,0
NVDA,stock,2026-03-09 04:00:00,175.7,175.85,175.22,175.22,0.0,2 days 08:05:00,1,0,0,0
NVDA,stock,2026-03-10 04:00:00,182.34,183.0,182.33,183.0,0.0,0 days 08:05:00,1,0,0,0
SOLUSD,crypto,2026-03-08 03:00:00,82.44,82.62,82.39,82.62,77511.41069192461,0 days 01:05:00,1,0,0,0
USDJPY,forex,2026-03-08 17:05:00,158.073,158.079,158.047,158.069,96.0,2 days 00:10:00,1,0,0,0
^DJI,index,2026-02-05 09:30:00,49244.99,49310.82,49155.86,49174.84,20069209.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-06 09:30:00,49032.19,49516.4,49032.19,49482.83,61942229.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-09 09:30:00,50047.79,50061.05,49971.12,50026.89,14560768.0,2 days 17:35:00,1,0,0,0
^DJI,index,2026-02-10 09:30:00,50193.49,50398.0,50193.49,50321.89,10944292.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-11 09:30:00,50362.29,50499.04,50362.29,50469.73,33496767.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-12 09:30:00,50313.06,50432.63,50281.27,50415.93,37363443.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-13 09:30:00,49405.17,49496.74,49322.38,49349.69,35683319.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-17 09:30:00,49525.37,49732.37,49521.87,49530.33,12800429.0,3 days 17:35:00,1,0,0,0
^DJI,index,2026-02-18 09:30:00,49613.49,49658.98,49469.06,49605.49,30379146.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-19 09:30:00,49576.22,49576.22,49399.73,49430.08,8867300.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-20 09:30:00,49277.19,49292.0,49195.15,49229.47,32572594.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-23 09:30:00,49463.28,49695.61,49459.41,49660.15,20958354.0,2 days 17:35:00,1,0,0,0
^DJI,index,2026-02-24 09:30:00,48827.8,48987.61,48752.74,48915.12,34729269.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-25 09:30:00,49348.13,49444.55,49294.54,49344.19,31977587.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-26 09:30:00,49544.58,49756.46,49544.58,49740.93,46879413.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-02-27 09:30:00,49063.56,49173.32,48950.51,48980.7,44230321.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-03-02 09:30:00,48794.42,48794.42,48377.96,48497.08,14084688.0,2 days 17:35:00,1,0,0,0
^DJI,index,2026-03-03 09:30:00,48493.11,48493.11,47992.21,48012.78,38298511.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-03-04 09:30:00,48589.77,48747.35,48532.55,48552.36,11189967.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-03-05 09:30:00,48526.73,48526.73,48338.61,48483.72,9495370.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-03-06 09:30:00,47634.55,47634.55,47124.34,47162.49,11252765.0,0 days 17:35:00,1,0,0,0
^DJI,index,2026-03-09 09:30:00,47371.28,47371.28,46928.04,46935.48,28706492.0,2 days 17:35:00,1,0,0,0
^DJI,index,2026-03-10 09:30:00,47771.43,47775.67,47643.69,47706.84,23137233.0,0 days 17:35:00,1,0,0,0
^FCHI,index,2026-02-12 09:00:00,8432.15,8433.7,8431.05,8433.7,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-02-13 09:00:00,8315.5,8316.12,8310.09,8311.81,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-02-16 09:00:00,8322.85,8325.69,8316.76,8318.29,0.0,2 days 15:30:00,1,0,0,0
